train_acc,train_loss,val_acc,val_loss
0.03429473684210526,4.327428,0.06480000000000001,4.026902
0.0700421052631579,3.989504,0.086,3.8507617
0.09905263157894738,3.8170872,0.084,3.9605927
0.1416421052631579,3.5888672,0.17119999999999996,3.370968
0.18054736842105262,3.368114,0.1696,3.4439466
0.2116421052631579,3.1971426,0.22039999999999998,3.1046906
0.24875789473684212,2.991259,0.29,2.8074896
0.2832631578947369,2.807149,0.21960000000000002,3.1688812
0.31677894736842105,2.6374362,0.33559999999999995,2.5308084
0.34978947368421054,2.4744985,0.3712,2.3875294
0.3660631578947368,2.381158,0.3296,2.5902162
0.39018947368421053,2.273289,0.4068,2.1858463
0.4084421052631579,2.1932824,0.3908,2.2799346
0.42244210526315795,2.1359355,0.3932,2.2766676
0.44191578947368426,2.0518894,0.4608,1.9991966
0.45345263157894733,1.995942,0.39759999999999995,2.3480947
0.4636631578947369,1.9517206,0.4692,1.952108
0.4790736842105263,1.8808905,0.46159999999999995,1.938851
0.48637894736842113,1.8509032,0.4304,2.1277833
0.49922105263157895,1.7931341,0.48800000000000004,1.8437761
0.5120631578947369,1.7554727,0.45359999999999995,2.0116081
0.5115578947368421,1.7409503,0.45280000000000004,2.003675
0.5306105263157895,1.6805308,0.5152,1.7520295
0.53,1.6640075,0.44000000000000006,2.1351862
0.5333684210526316,1.6445957,0.5144,1.7628009
0.5502105263157895,1.5882497,0.512,1.7270191
0.5498947368421052,1.5882962,0.4711999999999999,1.9522583
0.5616,1.548429,0.5472,1.6580539
0.5652,1.5220377,0.4988,1.8610013
0.5663578947368422,1.5257324,0.49079999999999996,1.8888115
0.5786105263157896,1.4720825,0.5528,1.6325618
0.5802947368421052,1.463816,0.49920000000000003,1.8836551
0.5806315789473683,1.4586991,0.5504,1.6763836
0.591221052631579,1.4157336,0.5408000000000001,1.7051941
0.59,1.4214128,0.5188,1.8165483
0.601178947368421,1.3844048,0.5588,1.6100264
0.6039789473684211,1.3652235,0.5164,1.8217568
0.6021473684210525,1.3794831,0.5312,1.7842348
0.6138315789473685,1.3360909,0.5708000000000001,1.570326
0.6132421052631578,1.3397455,0.5316,1.8482697
0.617957894736842,1.316635,0.5548000000000001,1.6304457
0.625578947368421,1.288204,0.5644,1.6976349
0.6188210526315789,1.3030028,0.5044,1.9125961
0.6292842105263159,1.2724186,0.5788,1.5643554
0.6326526315789474,1.2522824,0.5548000000000001,1.6860106
0.6308,1.2582855,0.5159999999999999,1.9070401
0.6417052631578948,1.2236906,0.5812,1.5554608
0.6422526315789474,1.2218432,0.5236,1.8916278
0.6442105263157895,1.2179857,0.5851999999999999,1.5812218
0.6482526315789474,1.1900046,0.5820000000000001,1.6010247
0.6462736842105263,1.1936369,0.5436000000000001,1.7873098
0.651221052631579,1.1758424,0.5784,1.5691136
0.6581684210526317,1.1639994,0.5456,1.7203455
0.6561473684210527,1.1656926,0.5612,1.71948
0.6638736842105263,1.1361454,0.5992000000000001,1.5494027
0.6615157894736842,1.146335,0.5532,1.7502894
0.6627368421052632,1.1406127,0.5920000000000001,1.5752875
0.6723157894736841,1.1062049,0.5828,1.6276741
0.6679157894736842,1.1236212,0.5212,1.9653177
0.6715578947368421,1.1056632,0.5956,1.5746993
0.6742947368421052,1.092178,0.5660000000000001,1.7278218
0.674378947368421,1.0967324,0.564,1.7018121
0.6791368421052631,1.071833,0.6008,1.541627
0.6804,1.0691772,0.5404,1.89562
0.6810105263157895,1.0662122,0.5940000000000001,1.6106976
0.6861052631578948,1.0426711,0.5936,1.6026264
0.6835157894736841,1.055232,0.5256000000000001,2.0222902
0.6902526315789473,1.0329905,0.5972,1.5659178
0.6948000000000001,1.0202404,0.5628,1.7323058
0.6907578947368421,1.0267113,0.5836,1.7013165
0.6963578947368421,1.0047457,0.6067999999999999,1.5582484
0.6977473684210528,1.0060232,0.5528000000000001,1.8539604
0.6962105263157893,1.0076531,0.5888,1.6001743
0.7038526315789475,0.9851479,0.5948,1.6049649
0.7009894736842106,0.99050885,0.544,1.9452155
0.7029894736842104,0.9767068,0.5972,1.5633423
0.7097473684210526,0.9642835,0.5648,1.7671715
0.7062105263157896,0.9768882,0.5828,1.7447795
0.714,0.9514213,0.61,1.5686537
0.7114947368421053,0.95312893,0.552,1.987707
0.7138315789473683,0.9525785,0.5932,1.6378788
0.7194526315789473,0.93419385,0.6052000000000001,1.5390041
0.7129894736842104,0.94419974,0.5696,1.8245909
0.7174526315789475,0.93023,0.6012,1.5817451
0.7197263157894737,0.91730875,0.5856,1.6848035
0.7181894736842105,0.92506343,0.5824,1.7593412
0.7240421052631578,0.90964633,0.6043999999999999,1.5974057
0.7232,0.9056712,0.5656,1.8239442
0.7245052631578948,0.9075644,0.5967999999999999,1.6296169
0.7303157894736841,0.88663846,0.6068,1.5997506
0.7245473684210526,0.9036644,0.5324,2.0598495
0.7312631578947367,0.88087285,0.6076,1.592758
0.7326736842105263,0.8749036,0.5851999999999999,1.8235434
0.7274526315789472,0.8926861,0.5848,1.7872474
0.7346315789473684,0.86974597,0.6144,1.5983635
0.7356631578947368,0.8637901,0.562,1.9882693
0.7319789473684211,0.8727447,0.6068,1.6546392
0.7415368421052632,0.8470796,0.6168,1.6153128
0.735578947368421,0.86027515,0.5664,1.94398
0.7381684210526316,0.84929806,0.612,1.5990212
